"Central.Air","Lot.Shape","Garage.Cars","Overall.Qual","TotRms.AbvGrd","Gr.Liv.Area","Garage.Area","Fireplaces","Yr.Sold","SalePrice"
"Y","IR1",2,6,7,1656,528,2,2010,215000
"Y","Reg",1,5,5,896,730,0,2010,105000
"Y","IR1",1,6,6,1329,312,0,2010,172000
"Y","Reg",2,7,8,2110,522,2,2010,244000
"Y","IR1",2,5,6,1629,482,1,2010,189900
"Y","IR1",2,6,7,1604,470,1,2010,195500
"Y","Reg",2,8,6,1338,582,0,2010,213500
"Y","IR1",2,8,5,1280,506,0,2010,191500
"Y","IR1",2,8,5,1616,608,1,2010,236500
"Y","Reg",2,7,7,1804,442,1,2010,189000
"Y","IR1",2,6,7,1655,440,1,2010,175900
"Y","IR1",2,6,6,1187,420,0,2010,185000
"Y","IR1",2,6,7,1465,393,1,2010,180400
"Y","Reg",2,7,5,1341,506,1,2010,171500
"Y","IR1",2,8,4,1502,528,0,2010,212000
"Y","IR2",3,8,12,3279,841,1,2010,538000
"Y","IR1",2,8,8,1752,492,0,2010,164000
"Y","Reg",3,9,8,1856,834,1,2010,394432
"Y","Reg",2,4,4,864,400,0,2010,141000
"Y","Reg",2,6,7,2073,500,2,2010,210000
"Y","IR1",2,6,7,1844,546,1,2010,190000
"Y","Reg",2,7,6,1173,528,2,2010,170000
"Y","Reg",2,7,7,1674,663,0,2010,216000
"Y","IR1",2,6,5,1004,480,1,2010,149000
"Y","IR1",2,5,6,1078,500,1,2010,149900
"Y","Reg",1,5,6,1056,304,1,2010,142000
"Y","Reg",2,4,4,882,525,0,2010,126000
"Y","Reg",0,4,5,864,0,1,2010,115000
"Y","IR1",2,7,5,1337,511,1,2010,184000
"Y","Reg",1,6,5,987,264,0,2010,96000
"Y","Reg",1,5,6,1092,320,0,2010,105500
"Y","Reg",1,6,6,1092,264,0,2010,88000
"Y","Reg",2,6,4,1069,440,1,2010,127500
"Y","Reg",2,6,6,1456,440,1,2010,149900
"Y","Reg",1,7,4,836,308,0,2010,120000
"Y","Reg",2,6,7,1456,440,1,2010,146000
"Y","IR1",3,9,10,2334,751,1,2010,376162
"Y","Reg",3,8,7,1704,772,1,2010,306000
"Y","IR1",3,9,8,1940,606,1,2010,395192
"Y","IR1",3,8,7,1544,868,0,2010,290941
"Y","Reg",2,7,7,1541,532,1,2010,220000
"Y","Reg",3,9,7,1698,730,1,2010,275000
"Y","IR1",3,8,8,1822,678,1,2010,259000
"Y","IR1",2,7,7,1535,532,0,2010,214000
"Y","IR1",3,9,11,2364,820,2,2010,611657
"Y","IR1",2,7,6,1358,484,1,2010,224000
"Y","Reg",3,9,10,2696,958,2,2010,500000
"Y","Reg",3,8,7,2250,756,1,2010,320000
"Y","Reg",2,9,6,1752,576,1,2010,319900
"Y","IR1",2,8,6,1370,484,1,2010,205000
"Y","Reg",2,7,6,1626,474,0,2010,175500
"Y","IR1",2,6,6,1324,430,0,2010,199500
"Y","Reg",2,7,6,1145,437,0,2010,160000
"Y","Reg",2,8,6,1269,430,1,2010,192000
"Y","IR1",2,7,7,1374,400,1,2010,184500
"Y","Reg",2,6,8,1960,440,2,2010,216500
"Y","IR1",2,7,7,1733,433,1,2010,185088
"Y","IR1",2,7,7,1430,400,1,2010,180000
"Y","IR1",2,7,8,2035,434,1,2010,222500
"Y","IR1",3,9,10,2599,779,1,2010,333168
"Y","IR2",3,8,7,2475,962,1,2010,355000
"Y","IR1",2,7,7,1720,527,1,2010,260400
"Y","IR1",2,8,9,2622,712,2,2010,325000
"Y","IR1",3,8,9,2270,671,1,2010,290000
"Y","IR2",2,7,7,1839,486,0,2010,221000
"Y","IR1",3,8,9,3238,666,1,2010,410000
"Y","Reg",3,8,6,1595,880,1,2010,221500
"Y","Reg",2,7,4,1218,676,0,2010,204500
"Y","Reg",2,7,7,1547,614,0,2010,215200
"Y","Reg",2,8,7,1566,750,0,2010,262500
"Y","Reg",2,7,8,1947,678,1,2010,254900
"Y","Reg",2,6,6,1468,528,1,2010,271500
"Y","IR1",2,7,8,2084,618,0,2010,233000
"Y","Reg",2,7,8,1659,484,0,2010,181000
"Y","IR1",2,7,8,2110,463,2,2010,205000
"Y","Reg",1,6,5,923,264,1,2010,143000
"Y","Reg",2,6,8,1845,462,1,2010,189000
"Y","Reg",1,6,5,918,264,1,2010,99500
"Y","Reg",1,6,4,752,264,0,2010,125000
"Y","IR1",2,7,7,1744,457,0,2010,194500
"Y","Reg",2,6,6,1097,480,0,2010,152000
"Y","Reg",2,6,7,1564,476,1,2010,171000
"N","Reg",1,5,5,1012,429,0,2010,67500
"Y","Reg",2,6,8,1902,539,0,2010,112000
"Y","IR1",2,5,6,1155,576,0,2010,148000
"Y","Reg",1,5,5,894,336,1,2010,138500
"Y","IR1",1,5,5,900,280,0,2010,122000
"Y","Reg",1,5,5,1040,308,0,2010,133000
"Y","IR1",1,5,6,1040,260,0,2010,127000
"Y","IR1",2,6,7,1494,461,2,2010,169000
"Y","IR1",2,7,8,1923,564,1,2010,190000
"Y","IR1",3,8,9,2349,762,1,2010,362500
"Y","Reg",3,8,7,2225,713,1,2010,285000
"Y","IR1",2,7,6,1488,506,1,2010,260000
"Y","Reg",2,7,3,1680,588,0,2010,190000
"Y","Reg",2,7,4,1200,480,0,2010,155000
"Y","Reg",2,7,4,1200,480,0,2010,151000
"Y","Reg",2,7,4,1200,480,0,2010,149500
"Y","Reg",2,6,4,1236,480,0,2010,152000
"Y","IR2",2,7,7,1478,484,1,2010,222000
"Y","Reg",2,6,5,1573,440,0,2010,177500
"Y","Reg",2,6,5,1512,440,0,2010,177000
"Y","Reg",2,7,6,1416,484,0,2010,155000
"Y","IR1",2,7,4,1080,496,0,2010,147110
"Y","IR1",3,8,6,1418,852,1,2010,267916
"Y","IR1",2,8,7,1848,592,1,2010,254000
"Y","IR1",2,8,3,788,484,1,2010,155000
"Y","IR1",2,8,4,1226,484,1,2010,206000
"Y","IR1",2,6,6,1479,475,0,2010,130500
"Y","Reg",2,7,6,1492,596,1,2010,230000
"Y","IR1",2,6,8,1829,535,0,2010,218500
"Y","Reg",2,6,9,2495,660,1,2010,243500
"Y","IR1",2,6,6,1610,480,2,2010,205000
"Y","IR1",2,6,7,1891,678,1,2010,212500
"Y","Reg",2,7,7,1714,496,1,2010,196500
"Y","Reg",2,6,5,1381,676,1,2010,197500
"Y","Reg",2,6,7,1645,441,0,2010,171000
"Y","Reg",2,5,6,1232,490,0,2010,142250
"Y","Reg",2,6,6,1328,528,2,2010,143000
"Y","IR1",0,4,6,1225,0,0,2010,128950
"Y","Reg",2,5,6,1209,504,0,2010,159000
"Y","Reg",2,5,6,1510,517,0,2010,178900
"Y","IR1",2,6,8,1775,480,0,2010,136300
"Y","IR1",2,5,6,1152,484,1,2010,180500
"Y","Reg",2,6,6,1054,480,0,2010,137500
"Y","IR1",0,5,10,1728,0,0,2010,84900
"Y","Reg",1,5,5,1078,240,0,2010,142125
"Y","Reg",2,5,7,2461,400,2,2010,197600
"Y","Reg",2,6,6,1556,470,1,2010,172500
"Y","IR1",0,5,4,858,0,0,2010,116500
"Y","IR1",0,3,6,1306,0,0,2010,76500
"Y","Reg",1,5,6,1063,280,0,2010,128000
"Y","Reg",1,6,7,1520,364,2,2010,153000
"Y","Reg",1,5,7,1268,244,1,2010,132000
"Y","IR1",1,6,5,1128,315,1,2010,178000
"Y","Reg",2,5,12,2274,480,0,2010,154300
"Y","Reg",2,7,7,2207,576,1,2010,180000
"Y","IR1",2,6,6,1888,578,1,2010,190000
"Y","Reg",2,5,8,1604,576,0,2010,135000
"Y","Reg",2,7,7,1480,620,0,2010,214000
"Y","IR1",1,5,6,1143,308,0,2010,136000
"Y","IR1",2,5,6,1700,447,1,2010,165500
"Y","Reg",1,5,5,1314,294,0,2010,145000
"Y","Reg",1,6,6,1194,312,0,2010,148000
"Y","IR1",2,5,6,1188,531,0,2010,142000
"Y","Reg",2,5,6,1264,461,2,2010,167500
"Y","IR1",1,5,6,1206,312,0,2010,108538
"Y","Reg",2,6,6,1580,440,2,2010,159500
"Y","Reg",1,4,5,1337,263,0,2010,108000
"Y","Reg",1,5,4,1064,318,0,2010,135000
"Y","Reg",1,5,5,972,305,0,2010,122500
"Y","Reg",1,5,5,988,264,0,2010,119000
"Y","Reg",1,5,5,1057,246,0,2010,109000
"Y","Reg",2,4,4,985,676,0,2010,105000
"Y","Reg",1,5,5,827,392,1,2010,107500
"Y","Reg",2,5,6,1086,490,0,2010,144900
"Y","Reg",1,5,4,936,308,0,2010,129000
"Y","Reg",1,6,6,1458,330,1,2010,97500
"Y","Reg",2,6,4,1056,576,0,2010,144000
